Play,Closest play Spacy,Closest distance Spacy,Closest play Manual,Closest distance Manual,Closest play with stopwords,Closest distance with stopwords,All agree,Stopwords agree,Same author Manual or Spacy,Same author Manual,Same author with stopwords
mareschala-cour-bergere,mareschala-soeur-valeureuse,0.0042,mareschala-genereuse-allemande,0.0046,mareschala-soeur-valeureuse,0.0016,FALSE,FALSE,TRUE,TRUE,TRUE
marivaux-mere-confidente,marivaux-ecole-des-meres,0.0046,marivaux-ecole-des-meres,0.0049,marivaux-ecole-des-meres,0.0016,TRUE,TRUE,TRUE,TRUE,TRUE
mareschala-soeur-valeureuse,mareschala-cour-bergere,0.0042,mareschala-cour-bergere,0.0051,mareschala-cour-bergere,0.0016,TRUE,TRUE,TRUE,TRUE,TRUE
du-ryer-cleomedon,desfontaines-veritable-semiramis,0.0048,desfontaines-eurimedon,0.0057,du-ryer-clarigene,0.0016,FALSE,FALSE,FALSE,FALSE,TRUE
feydeau-un-coup-de-tete-1883,feydeau-un-coup-de-tete,0.0019,feydeau-un-coup-de-tete,0.0062,feydeau-un-coup-de-tete,0.0016,TRUE,TRUE,TRUE,TRUE,TRUE
feydeau-un-coup-de-tete,feydeau-un-coup-de-tete-1883,0.0019,feydeau-un-coup-de-tete-1883,0.0062,feydeau-un-coup-de-tete-1883,0.0016,TRUE,TRUE,TRUE,TRUE,TRUE
regnard-menechmes,regnard-legataire,0.0048,regnard-distrait,0.0069,regnard-legataire,0.0016,FALSE,FALSE,TRUE,TRUE,TRUE
du-ryer-clarigene,pacaroni-bajazet-premier,0.0063,corneillep-theodore,0.0071,du-ryer-cleomedon,0.0016,FALSE,FALSE,FALSE,FALSE,TRUE
regnard-legataire,regnard-menechmes,0.0048,hauteroche-amant-flatte-point,0.0086,regnard-menechmes,0.0016,FALSE,FALSE,TRUE,FALSE,TRUE
cubieres-palmezeaux-mort-de-moliere-3a,cubieres-palmezeaux-mort-de-moliere-4a,0.0017,cubieres-palmezeaux-mort-de-moliere-4a,0.0012,cubieres-palmezeaux-mort-de-moliere-4a,0.0017,TRUE,TRUE,TRUE,TRUE,TRUE
cubieres-palmezeaux-mort-de-moliere-4a,cubieres-palmezeaux-mort-de-moliere-3a,0.0017,cubieres-palmezeaux-mort-de-moliere-3a,0.0012,cubieres-palmezeaux-mort-de-moliere-3a,0.0017,TRUE,TRUE,TRUE,TRUE,TRUE
voltaire-zulime,abeille-lyncee,0.0044,abeille-lyncee,0.0053,voltaire-adelaide,0.0017,FALSE,TRUE,FALSE,FALSE,TRUE
voltaire-adelaide,voltaire-zulime,0.0045,voltaire-zulime,0.0058,voltaire-zulime,0.0017,TRUE,TRUE,TRUE,TRUE,TRUE
scarron-jodelet-dueliste,scarron-heritier-ridicule,0.0052,scarron-heritier-ridicule,0.0063,scarron-jodelet,0.0017,FALSE,TRUE,TRUE,TRUE,TRUE
scarron-jodelet,scarron-jodelet-dueliste,0.0073,scarron-jodelet-dueliste,0.0064,scarron-jodelet-dueliste,0.0017,TRUE,TRUE,TRUE,TRUE,TRUE
dancourt-charivari,dancourt-colin-maillard,0.0077,dancourt-vendanges-de-suresnes,0.0087,dancourt-colin-maillard,0.0017,FALSE,FALSE,TRUE,TRUE,TRUE
marivaux-meprise,marivaux-petit-maitre-corrige,0.0054,marivaux-petit-maitre-corrige,0.0089,marivaux-mere-confidente,0.0017,FALSE,TRUE,TRUE,TRUE,TRUE
dancourt-colin-maillard,dancourt-renaud-armide,0.0054,dancourt-renaud-armide,0.0093,dancourt-charivari,0.0017,FALSE,TRUE,TRUE,TRUE,TRUE
corneillep-suite-menteur,moliere-ecole-des-femmes,0.0037,corneillet-amour-a-la-mode,0.0041,corneillep-menteur,0.0018,FALSE,FALSE,FALSE,FALSE,TRUE
tristan-mort-de-chrispe,mairet-sophonisbe,0.0032,tristan-mariane,0.0049,tristan-mariane,0.0018,FALSE,FALSE,FALSE,TRUE,TRUE
tristan-mariane,tristan-mort-de-chrispe,0.0038,tristan-mort-de-chrispe,0.0049,tristan-mort-de-chrispe,0.0018,TRUE,TRUE,TRUE,TRUE,TRUE
corneillet-engagements-du-hasard,corneillet-feint-astrologue,0.0047,corneillet-feint-astrologue,0.0058,scarron-marquis-ridicule,0.0018,FALSE,TRUE,TRUE,TRUE,FALSE
lagrange-chancel-meleagre,campistron-tiridate,0.0051,corneillep-rodogune,0.0058,la-thuilerie-hercule,0.0018,FALSE,FALSE,FALSE,FALSE,FALSE
