Play,Closest play Spacy,Closest distance Spacy,Closest play Manual,Closest distance Manual,Closest play with stopwords,Closest distance with stopwords,All agree,Stopwords agree,Same author Manual or Spacy,Same author Manual,Same author with stopwords
barthe-amateur,saurin-anglomane,0.0121,saurin-anglomane,0.0132,dorat-la-feinte-par-amour,0.0057,FALSE,TRUE,FALSE,FALSE,FALSE
patrat-heureuse-erreur,ancelot-auger-une-seduction,0.0081,lesage-crispin-rival-de-son-maitre,0.0153,ancelot-arago-papillotes,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
la-calprenede-hermenegilde,aubignac-pucelle-prose,0.0083,puget-de-la-serre-sac-de-carthage,0.0166,aubignac-pucelle-prose,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
genlis-cloison,ancelot-auger-une-seduction,0.0106,genlis-mere-rivale,0.0172,genlis-curieuse,0.0057,FALSE,FALSE,FALSE,TRUE,TRUE
mathieu-magicienne-etrangere,grevin-cesar,0.0122,grevin-cesar,0.0196,viau-pasiphae,0.0057,FALSE,TRUE,FALSE,FALSE,FALSE
vessaire-caquire,l-estoile-intrigue-des-filous,0.0197,grandval-temperament,0.0206,schelandre-tyr-sidon-ii,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
cyrano-pedant-joue,mareschala-veritable-capitaine-matamore,0.0099,aristophane-guepes,0.0215,regnard-divorce,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
garniert-adelaide,fagan-pupille,0.0105,alain-legrand-epreuve-reciproque,0.0216,lesage-crispin-rival-de-son-maitre,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
pg-carnaval-du-baron,tristan-parasite,0.0125,regnard-vendanges,0.0268,cadet-gassicourt-souper-de-moliere,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
aubignac-pucelle-prose,la-calprenede-hermenegilde,0.0083,baro-celinde,0.0288,la-calprenede-hermenegilde,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
aicard-smilis,musset-andre-del-sarto,0.0149,beissier-les-deux-pigeonnes,0.0321,hervilly-silence-dans-les-rangs,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
voltaire-saul,beze-abraham,0.0232,anonyme-jeu-d-esmoree,0.0338,moliere-avare,0.0057,FALSE,FALSE,FALSE,FALSE,FALSE
la-motte-canente,fontenelle-endymion,0.0094,regnard-carnaval-de-venise,0.0104,campistron-achille,0.0058,FALSE,FALSE,FALSE,FALSE,FALSE
musset-a-quoi-revent-les-jeunes-filles,musset-badine,0.0119,gueullette-arlequin-pluton,0.0146,favart-acajou,0.0058,FALSE,FALSE,TRUE,FALSE,FALSE
dorvo-lamentin,boursault-comedie-sans-titre,0.0091,nivelle-amour-pour-amour,0.0221,cheron-homme-a-bonnes-fortunes,0.0058,FALSE,FALSE,FALSE,FALSE,FALSE
regnard-homme-bonne-fortune-critique,regnard-coquette,0.0158,dufresny-noce-interrompue,0.0254,vigny-quitte-pour-la-peur,0.0058,FALSE,FALSE,TRUE,FALSE,FALSE
dufresny-regnard-baguette-vulcain,dufresny-regnard-augmentation-baguette,0.0164,dufresny-regnard-naissance-d-amadis,0.0276,dufresny-mal-assortis,0.0058,FALSE,FALSE,TRUE,TRUE,TRUE
garniert-belle-mere,marivaux-mere-confidente,0.0081,busnach-chateau-yquem,0.0289,marivaux-ecole-des-meres,0.0058,FALSE,FALSE,FALSE,FALSE,FALSE
colle-accidents,dancourt-colin-maillard,0.0116,dancourt-parisienne,0.0297,plancher-verre-d-eau,0.0058,FALSE,FALSE,FALSE,FALSE,FALSE
corneillep-place-royale,corneillep-suivante,0.0025,pousset-de-montauban-felicie,0.0077,desfontaines-perside,0.0059,FALSE,FALSE,TRUE,FALSE,FALSE
du-ryer-argenis-poliarque,puget-de-la-serre-pandoste-i,0.0068,montchretien-lacenes,0.0121,guerin-de-bouscal-la-mort-de-brute-et-de-porcie,0.0059,FALSE,FALSE,FALSE,FALSE,FALSE
tanevot-adam-et-eve,rotrou-saint-genest,0.0105,nadal-osarphis-moise,0.0124,nadal-osarphis-moise,0.0059,FALSE,FALSE,FALSE,FALSE,FALSE
lemierre-guillaume-tell,constant-wallstein,0.0092,constant-wallstein,0.0125,tanevot-adam-et-eve,0.0059,FALSE,TRUE,FALSE,FALSE,FALSE
aigueberre-polixene,longepierre-medee,0.0092,la-motte-machabees,0.0136,campistron-arminiusc,0.0059,FALSE,FALSE,FALSE,FALSE,FALSE
seneque-medee,seneque-agamemnon,0.0087,seneque-agamemnon,0.014,euripide-hercule-furieux,0.0059,FALSE,TRUE,TRUE,TRUE,FALSE
piron-nouvelle-messaline,l-estoile-intrigue-des-filous,0.0122,l-estoile-intrigue-des-filous,0.0166,regnard-folies-amoureuses,0.0059,FALSE,TRUE,FALSE,FALSE,FALSE
rousseau-muses-galantes,regnard-carnaval-de-venise,0.0123,regnard-carnaval-de-venise,0.017,la-motte-canente,0.0059,FALSE,TRUE,FALSE,FALSE,FALSE
archambault-ce-n-est-pas,archambault-hurlubrelu,0.0241,archambault-jocrisse-change,0.0171,archambault-janot-battus,0.0059,FALSE,FALSE,TRUE,TRUE,TRUE
anonyme-bonnes-gens,gillet-francion,0.012,aure-dipne,0.0196,la-harpe-moliere,0.0059,FALSE,FALSE,FALSE,FALSE,FALSE
marivaux-felicie,marivaux-dispute,0.0074,marivaux-sinceres,0.0198,marivaux-sinceres,0.0059,FALSE,FALSE,TRUE,TRUE,TRUE
arago-mademoiselle-lange,genlis-tendresse-maternelle,0.02,voltaire-femme-qui-a-raison,0.0245,patrat-vengeance,0.0059,FALSE,FALSE,FALSE,FALSE,FALSE
caylus-appareilleuse,musset-caprice,0.0171,caylus-bordel,0.0259,voltaire-cafe,0.0059,FALSE,FALSE,FALSE,TRUE,FALSE
pg-fausse-invite,vade-canadienne,0.0118,andrieux-la-comedienne,0.0265,dancourt-sancho,0.0059,FALSE,FALSE,FALSE,FALSE,FALSE
genlis-marchande-de-modes,genlis-aveugle-de-spa,0.0153,genlis-bonne-mere,0.0271,adenisj-la-double-meprise,0.0059,FALSE,FALSE,TRUE,TRUE,FALSE
becque-veuve,becque-corbeaux,0.018,masson-le-proces-du-baiser,0.0334,guyot-de-merville-consentement-force,0.0059,FALSE,FALSE,TRUE,FALSE,FALSE
scribe-ministre-sous-louis-xv,scribe-potemkin,0.0121,dufresny-negligent,0.0337,regnard-homme-bonne-fortune-critique,0.0059,FALSE,FALSE,TRUE,FALSE,FALSE
durant-jours-se-suivent,gouges-moliere-ninon,0.0093,durant-a-laver-la-tete,0.0355,moissy-prejuges,0.0059,FALSE,FALSE,FALSE,TRUE,FALSE
moissy-prejuges,mercier-liberateur,0.0156,durant-a-laver-la-tete,0.0395,durant-jours-se-suivent,0.0059,FALSE,FALSE,FALSE,FALSE,FALSE
la-calprenede-enfants-d-herode,la-calprenede-jeanne,0.0051,boyer-mort-enfants-brute,0.0083,mairet-sophonisbe,0.006,FALSE,FALSE,TRUE,FALSE,FALSE
siraudin-delacour-choler-apres-le-bal,duflot-desarbres-deux-hommes-pour-un-placard,0.0116,labiche-michel-deux-timides,0.0096,duflot-desarbres-deux-hommes-pour-un-placard,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
grandval-luxurieux,moliere-ecole-des-femmes,0.0077,regnard-legataire,0.0118,scarron-heritier-ridicule,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
musset-louison,legrand-famille-extravagante,0.0092,regnard-joueur,0.0125,colleville-sophie-derville,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
renard-maitresse,renard-plaisir-de-rompre,0.0128,renard-plaisir-de-rompre,0.0125,renard-plaisir-de-rompre,0.006,TRUE,TRUE,TRUE,TRUE,TRUE
pradel-trait-de-moliere,cubieres-palmezeaux-mort-de-moliere-4a,0.0087,lesguillon-saint-yves-protege-de-moliere,0.0131,ozicourt-belizaire,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
jodelle-didon,jodelle-cleopatre,0.0067,viau-pasiphae,0.0133,jodelle-cleopatre,0.006,FALSE,FALSE,TRUE,FALSE,TRUE
nerval-une-repetition,moliere-misanthrope,0.0116,boursault-esope,0.0144,moliere-tartuffe,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
la-fontaine-achille,campistron-alcibiade,0.0081,campistron-aetius,0.0146,genest-penelope,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
jodelle-cleopatre,jodelle-didon,0.0067,jodelle-didon,0.0164,jodelle-didon,0.006,TRUE,TRUE,TRUE,TRUE,TRUE
brueys-l-opiniatre,andrieux-les-etourdis,0.0086,chevalier-amours-de-calotin,0.0166,chevalier-amours-de-calotin,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
dubosc-balance-d-etat,tristan-mort-seneque,0.0143,tristan-mort-seneque,0.0176,guerin-de-bouscal-la-mort-de-brute-et-de-porcie,0.006,FALSE,TRUE,FALSE,FALSE,FALSE
boucher-champagne-le-coiffeur,palissot-barbier-de-bagdad,0.0102,andrieux-les-etourdis,0.0184,vade-poirier,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
mercier-tombeaux-de-verone,legouve-laurence-orzano,0.0121,sand-aldo-le-rimeur,0.019,voltaire-mariamne,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
barre-despres-piis-resnier-l-opera-de-province,piis-cassandre-astrologue,0.0137,piis-cassandre-astrologue,0.0195,fabre-d-eglantine-philinte-de-moliere,0.006,FALSE,TRUE,FALSE,FALSE,FALSE
donneau-de-vise-corneille-devineresse,sedaine-manteau-ecarlate,0.0093,lesage-turcaret,0.0209,marivaux-legs,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
roswitha-callimaque,roswitha-abraham,0.0166,puget-de-la-serre-pandoste-ii,0.0283,roswitha-abraham,0.006,FALSE,FALSE,TRUE,FALSE,TRUE
roswitha-abraham,roswitha-callimaque,0.0166,roswitha-callimaque,0.0284,roswitha-callimaque,0.006,TRUE,TRUE,TRUE,TRUE,TRUE
vander-burch-proces-racine-conciliateur,rousseaujb-cafe,0.017,mons-dernier-klephte,0.0303,dancourt-colin-maillard,0.006,FALSE,FALSE,FALSE,FALSE,FALSE
desmarets-visionnaires,beys-celine,0.0077,corneillet-berger-extravagant,0.0115,corneillet-berger-extravagant,0.0061,FALSE,FALSE,FALSE,FALSE,FALSE
pic-aricie,moliere-psyche,0.0088,fontenelle-endymion,0.0123,fontenelle-endymion,0.0061,FALSE,FALSE,FALSE,FALSE,FALSE
chamfort-la-jeune-indienne,mercier-jenneval,0.0081,romagnesi-riccoboni-sauvages,0.0144,dumaniant-francais-en-huronie,0.0061,FALSE,FALSE,FALSE,FALSE,FALSE
hervilly-pere-et-fils,hervilly-moliere-en-prison,0.0141,hervilly-docteur-sans-pareil,0.0159,hervilly-moliere-en-prison,0.0061,FALSE,FALSE,TRUE,TRUE,TRUE
monchretien-ecossaise-1604,montchretien-carthaginoise,0.0038,montchretien-hector,0.018,montchretien-carthaginoise,0.0061,FALSE,FALSE,FALSE,FALSE,FALSE
danchet-camille-reine-des-volsques,campistron-achille,0.0107,campistron-achille,0.019,campistron-achille,0.0061,TRUE,TRUE,FALSE,FALSE,FALSE
biancollelli-agnes-de-chaillot,legrand-famille-extravagante,0.011,biancollelli-arlequin-gentilhomme,0.0192,poulhariez-taciturne,0.0061,FALSE,FALSE,FALSE,TRUE,FALSE
nittis-au-declin,desjardins-favori,0.0139,sallebray-belle-egyptienne,0.0195,lesguillon-saint-yves-protege-de-moliere,0.0061,FALSE,FALSE,FALSE,FALSE,FALSE
zola-therese-raquin,barre-radet-desfontaines-colombine-mannequin,0.0148,about-risette,0.0208,allary-les-lilas-blancs,0.0061,FALSE,FALSE,FALSE,FALSE,FALSE
grandval-eunuque,taconet-epoux-par-chicane,0.0189,taconet-epoux-par-chicane,0.0213,cubieres-palmezeaux-mort-de-moliere-3a,0.0061,FALSE,TRUE,FALSE,FALSE,FALSE
voltaire-comte-de-boursoufle,voltaire-originaux,0.0108,palaprat-le-muet,0.023,marivaux-femme-fidele,0.0061,FALSE,FALSE,TRUE,FALSE,FALSE
allary-les-lilas-blancs,zola-therese-raquin,0.0174,valentin-le-soir-de-fiancailles,0.0343,zola-therese-raquin,0.0061,FALSE,FALSE,FALSE,FALSE,FALSE
barante-dufresny-fees,giraudoux-ondine,0.0264,adenisj-la-double-meprise,0.0405,barante-dufresny-pasquin-marforio,0.0061,FALSE,FALSE,FALSE,FALSE,TRUE
la-mesnardiere-alinde,montgaudier-natalie,0.0069,montgaudier-natalie,0.008,mercier-tombeaux-de-verone,0.0062,FALSE,TRUE,FALSE,FALSE,FALSE
carmontelle-l-homme-qui-craint-d-aimer,carmontelle-petit-maitre-par-philosophie,0.0108,carmontelle-petit-maitre-par-philosophie,0.0137,carmontelle-le-bon-mari,0.0062,FALSE,TRUE,TRUE,TRUE,TRUE
jeannet-moliere-en-menage,cheron-homme-a-bonnes-fortunes,0.0097,quinault-docteur-de-verre,0.0146,anseaume-ressource-comique,0.0062,FALSE,FALSE,FALSE,FALSE,FALSE
maupassant-une-repetition,bornier-le-monde-renverse,0.0177,bornier-le-monde-renverse,0.017,voltaire-envieux,0.0062,FALSE,TRUE,FALSE,FALSE,FALSE
boissy-apologie-du-siecle,pesselier-esope-au-parnasse,0.0115,pesselier-esope-au-parnasse,0.0236,cubieres-palmezeaux-fete-seculaire-corneille,0.0062,FALSE,TRUE,FALSE,FALSE,FALSE
garniert-deux-pates,brueys-empiriques,0.0176,archambault-on-fait-ce-qu-on-peut,0.0265,regnard-retour-imprevu,0.0062,FALSE,FALSE,FALSE,FALSE,FALSE
magnon-jeanne-de-naples,boissy-vie-est-un-songe,0.0076,rotrou-venceslas,0.0268,boursault-marie-stuard,0.0062,FALSE,FALSE,FALSE,FALSE,FALSE
cubieres-palmezeaux-fete-seculaire-corneille,la-harpe-muses-rivales,0.0135,lesguillon-saint-yves-protege-de-moliere,0.0273,boissy-apologie-du-siecle,0.0062,FALSE,FALSE,FALSE,FALSE,FALSE
dufresny-faux-instinct,dufresny-joueuse,0.0118,brohan-qui-femme-a-guerre-a,0.0306,montalembert-statue,0.0062,FALSE,FALSE,TRUE,FALSE,FALSE
garniert-epreuve,beaunoir-libellistes,0.0198,voltaire-cafe,0.0402,ancelot-auger-une-seduction,0.0062,FALSE,FALSE,FALSE,FALSE,FALSE
archambault-janot-degraisseur,archambault-jocrisse-change,0.0288,archambault-ce-n-est-pas,0.0416,archambault-ce-n-est-pas,0.0062,FALSE,FALSE,TRUE,TRUE,TRUE
andrieux-anaximandre,hoffman-original,0.0085,donneau-de-vise-mere-coquette,0.0145,rochon-heureusement,0.0063,FALSE,FALSE,FALSE,FALSE,FALSE
liquier-amour-electrique,depret-le-marquis-ernest,0.0177,siraudin-delacour-choler-apres-le-bal,0.0174,feydeau-gibier-de-potence,0.0063,FALSE,FALSE,FALSE,FALSE,FALSE
goullinet-trois-aveugles,beaunoir-cacophonie,0.0135,gueullette-parade-2,0.0207,musset-bettine,0.0063,FALSE,FALSE,FALSE,FALSE,FALSE
poisson-sot-venge,chevalier-disgrace-des-domestiques,0.0114,chevalier-cartel-de-guillot,0.0212,fagan-isabelle-arlequin,0.0063,FALSE,FALSE,FALSE,FALSE,FALSE
garniert-brunon,dufresny-double-veuvage,0.012,berquin-la-petite-glaneuse,0.0218,voltaire-cafe,0.0063,FALSE,FALSE,FALSE,FALSE,FALSE
bernardt-plaisirs-du-dimanche,anonyme-matinee-comedien-francais,0.0214,bernardt-le-radeau-de-la-meduse,0.0265,musset-bettine,0.0063,FALSE,FALSE,FALSE,TRUE,FALSE
gouges-exclavage-des-noirs,magnon-tamerlan,0.0134,mercier-destruction-de-la-ligue,0.0268,nizas-sauvage-en-france,0.0063,FALSE,FALSE,FALSE,FALSE,FALSE
voltaire-originaux,saurin-mariage-de-julie,0.0091,diderot-pere-de-famille,0.0276,voltaire-comte-de-boursoufle,0.0063,FALSE,FALSE,FALSE,FALSE,TRUE
sacy-harangue,dugazon-modere,0.0175,dancourt-vacances,0.0294,dufresny-chevalier-joueur,0.0063,FALSE,FALSE,FALSE,FALSE,FALSE
campan-deux-educations,genlis-marchande-de-modes,0.0161,genlis-intrigue-mensonge,0.0349,diderot-piece-prologue,0.0063,FALSE,FALSE,FALSE,FALSE,FALSE
gueullette-amant-poussif,gueullette-fausses-envies,0.0238,regnard-filles-errantes,0.038,dancourt-operateur-barry,0.0063,FALSE,FALSE,TRUE,FALSE,FALSE
rotrou-saint-genest,baro-saint-eustache,0.008,baro-saint-eustache,0.0082,rotrou-dom-bernard-de-cabrere,0.0064,FALSE,TRUE,FALSE,FALSE,TRUE
cahusac-l-algerien,dancourt-cephale-procris,0.008,nivelle-amour-pour-amour,0.0163,delavigne-comediens,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
gueullette-fausses-envies,gueullette-parade-1,0.0106,gueullette-parade-1,0.0171,sedaine-le-philosophe-sans-le-savoir,0.0064,FALSE,TRUE,TRUE,TRUE,FALSE
lafont-trois-freres-rivaux,allainval-ecole-des-bourgeois,0.0101,allainval-ecole-des-bourgeois,0.0185,arago-mademoiselle-lange,0.0064,FALSE,TRUE,FALSE,FALSE,FALSE
blemont-valade-barbier-de-moliere,vierne-moliere-enfant,0.0152,vierne-moliere-enfant,0.0186,rostand-cyrano,0.0064,FALSE,TRUE,FALSE,FALSE,FALSE
lafont-naufrage,romagnesi-riccoboni-sauvages,0.0139,guerin-de-bouscal-dom-quixote-2,0.0224,bruleboeuf-racine-chez-corneille,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
bruleboeuf-racine-chez-corneille,laboullaye-cormon-corneille-rotrou,0.0167,chazet-dubois-moliere-chez-ninon,0.0225,cailhava-egoisme,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
restif-jugement-de-paris,sallebray-belle-egyptienne,0.012,boyer-amours-jupiter-semele,0.0238,dancourt-comedie-comediens,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
rostand-cyrano,monselet-richard-les-trois-gendarmes,0.0164,hugues-boite-a-musique,0.0238,blemont-valade-barbier-de-moliere,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
blemont-moliere-en-bonne-fortune,la-fontaine-ragotin,0.0116,corneillet-baron-d-albikrac,0.0249,blemont-petite-rosange,0.0064,FALSE,FALSE,FALSE,FALSE,TRUE
carmontelle-les-epoux-malheureux,garniert-bon-pere,0.0171,moliere-monsieur-pourceaugnac,0.0261,rougemont-discours-de-rentree,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
sacy-defense,regnard-menechmes,0.0155,sand-moliere,0.0315,dancourt-prix-arquebuse,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
sacy-secretaire,flaubert-le-candidat,0.0198,cerou-amant-auteur,0.0327,regnard-arlequin-aux-enfers,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
garniert-dedit,dancourt-gazette,0.0149,musset-on-ne-saurait-penser-a-tout,0.0338,voltaire-originaux,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
maupassant-a-la-feuille-de-rose,rochefort-dupeuty-livry-madame-gregoire,0.0148,duvert-huron,0.0362,gueullette-parade-1,0.0064,FALSE,FALSE,FALSE,FALSE,FALSE
longhaye-souperdauteuil,andrieux-moliere-et-ses-amis,0.0111,cubieres-palmezeaux-mort-de-moliere-3a,0.0144,blemont-petite-rosange,0.0065,FALSE,FALSE,FALSE,FALSE,FALSE
colle-tanzai-et-neadarne,rotrou-les-occasions-perdues,0.0096,mareschala-cour-bergere,0.0156,saurin-spartacus,0.0065,FALSE,FALSE,FALSE,FALSE,FALSE
bergeret-l-album,diderot-piece-prologue,0.0163,du-pont-de-veyle-somnanbule,0.0249,gueullette-parade-2,0.0065,FALSE,FALSE,FALSE,FALSE,FALSE
sacy-gascon-a-paris,cubieres-palmezeaux-diligence-de-lyon,0.0187,marivaux-fausse-suivante,0.0288,bernardc-madame-de-vauldenaie,0.0065,FALSE,FALSE,FALSE,FALSE,FALSE
voltaire-deux-tonneaux,gueullette-arlequin-pluton,0.0155,dumaniant-francais-en-huronie-1787,0.0297,voltaire-droit-du-seigneur,0.0065,FALSE,FALSE,FALSE,FALSE,TRUE
gonnet-juliette-ou-la-danseuse,dufresny-double-veuvage,0.0254,gonnet-lisette,0.03,anseaume-tableau-parlant,0.0065,FALSE,FALSE,FALSE,TRUE,FALSE
garniert-passe-dix,archambault-on-fait-ce-qu-on-peut,0.0229,dufresny-negligent,0.0333,sacy-merlin-percepteur,0.0065,FALSE,FALSE,FALSE,FALSE,FALSE
voltaire-la-mort-de-caton,du-ryer-scevole,0.0077,du-ryer-scevole,0.01,folard-themistocle,0.0066,FALSE,TRUE,FALSE,FALSE,FALSE
boissy-auteur-supersticieux,brosse-aveugle-clairvoyant,0.0102,brosse-aveugle-clairvoyant,0.0124,grandval-temperament,0.0066,FALSE,TRUE,FALSE,FALSE,FALSE
moliere-critique-ecole-des-femmes,palissot-cercle,0.0084,somaize-veritables-precieuses,0.0157,moliere-impromptu-versailles,0.0066,FALSE,FALSE,FALSE,FALSE,TRUE
bohaire-jesus-christ,nadal-antiochus,0.013,genest-joseph,0.0204,scudery-mort-de-cesar,0.0066,FALSE,FALSE,FALSE,FALSE,FALSE
hugo-hernani,hugo-ruy-blas,0.0203,hugo-ruy-blas,0.0225,hugo-ruy-blas,0.0066,TRUE,TRUE,TRUE,TRUE,TRUE
hugo-ruy-blas,musset-lorenzaccio,0.0203,hugo-hernani,0.0225,hugo-hernani,0.0066,FALSE,FALSE,FALSE,TRUE,TRUE
normand-les-petits-cadeaux,dreyfus-un-crane-sous-une-tempete,0.0148,labiche-legouve-cigale-chez-les-fourmis,0.0246,labiche-leroy-il-est-de-la-police,0.0066,FALSE,FALSE,FALSE,FALSE,FALSE
carmontelle-le-sot-heritier,carmontelle-chanteur-italien,0.0144,carmontelle-boudoir,0.0278,carmontelle-boudoir,0.0066,FALSE,FALSE,TRUE,TRUE,TRUE
carmontelle-boudoir,carmontelle-bal,0.0167,carmontelle-le-sot-heritier,0.0278,carmontelle-le-sot-heritier,0.0066,FALSE,FALSE,TRUE,TRUE,TRUE
carmontelle-faux-empoisonnement,carmontelle-la-veste-brodee,0.0112,borde-gentilhomme-campagnard,0.0283,marivaux-seconde-surprise-de-l-amour,0.0066,FALSE,FALSE,TRUE,FALSE,FALSE
moissy-malheur-imprevu,garniert-bon-pere,0.0184,garniert-bon-pere,0.0302,sacy-contentement,0.0066,FALSE,TRUE,FALSE,FALSE,FALSE
moissy-menuet,dancourt-diable-boiteux-suite,0.0263,dancourt-diable-boiteux-suite,0.0402,dancourt-diable-boiteux-suite,0.0066,TRUE,TRUE,FALSE,FALSE,FALSE
jodelle-eugene,gillet-francion,0.0092,troterel-gillette,0.0156,beze-abraham,0.0067,FALSE,FALSE,FALSE,FALSE,FALSE
audinot-musicomanie,archambault-on-fait-ce-qu-on-peut,0.0179,dufresny-negligent,0.0205,beaunoir-sculpteur,0.0067,FALSE,FALSE,FALSE,FALSE,FALSE
duvert-xavier-odeina,cailhava-egoisme,0.0107,armand-cri-nature,0.0223,ancelot-auger-une-seduction,0.0067,FALSE,FALSE,FALSE,FALSE,FALSE
favart-la-fille-mal-gardee,nougaret-il-n-y-a-plus-d-enfants,0.0126,pg-a-la-monaco,0.0227,anseaume-ressource-comique,0.0067,FALSE,FALSE,FALSE,FALSE,FALSE
beze-abraham,anonyme-adam,0.0203,dalibray-soliman,0.0239,jodelle-eugene,0.0067,FALSE,FALSE,FALSE,FALSE,FALSE
dorimond-amours-de-trapolin,dorimond-ecole-des-cocus,0.0129,dorimond-femme-industrieuse,0.0247,regnard-folies-amoureuses,0.0067,FALSE,FALSE,TRUE,TRUE,FALSE
carmontelle-le-boiteux,carmontelle-diamant,0.0195,siraudin-larounat-ami-des-femmes,0.0416,andrieux-les-etourdis,0.0067,FALSE,FALSE,TRUE,FALSE,FALSE
cubieres-palmezeaux-dialogue,robinet-panegyrique-ecole-des-femmes,0.0155,carriere-doisin-cafe-litteraire,0.0424,diderot-reve-d-alembert,0.0067,FALSE,FALSE,FALSE,FALSE,FALSE
puget-de-la-serre-le-pyrame,beys-celine,0.0058,puget-de-la-serre-pandoste-i,0.009,baro-celinde,0.0068,FALSE,FALSE,FALSE,TRUE,FALSE
barre-radet-desfontaines-colombine-mannequin,zola-therese-raquin,0.0148,about-risette,0.0128,masson-le-proces-du-baiser,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
baro-celinde,tristan-mort-de-chrispe,0.0065,puget-de-la-serre-pandoste-i,0.0136,puget-de-la-serre-le-pyrame,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
fournier-fille-de-moliere,fournier-racine-a-uzes,0.0172,anseaume-tableau-parlant,0.0154,barthe-amateur,0.0068,FALSE,FALSE,TRUE,FALSE,FALSE
delavigne-famille-temps-luther,scribe-conversion,0.0141,saurin-beverlei,0.0162,bouchor-michel-lando,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
dufresny-depart-des-comediens,barante-arlequin-misanthrope,0.0102,dufresny-regnard-chinois,0.0165,giraudoux-impromptu-de-paris,0.0068,FALSE,FALSE,FALSE,TRUE,FALSE
colle-cocatrix,doigny-du-ponceau-antigone,0.0133,colardeau-astarbe,0.0172,colardeau-astarbe,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
bouchor-michel-lando,jodelle-eugene,0.0167,anseaume-tableau-parlant,0.0195,delavigne-famille-temps-luther,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
segur-fou,brosse-aveugle-clairvoyant,0.0118,quinault-comedie-sans-comedie,0.0205,cubieres-palmezeaux-mort-de-moliere-3a,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
genlis-colombe,brohan-compter-sans-son-hote,0.0167,nougaret-il-n-y-a-plus-d-enfants,0.022,genlis-enfant-gate,0.0068,FALSE,FALSE,FALSE,FALSE,TRUE
pixerecourt-victor,beaunoir-libellistes,0.0165,carrance-le-camelia,0.0226,chamfort-la-jeune-indienne,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
musset-augier-habit-vert,barre-radet-desfontaines-colombine-mannequin,0.0252,about-risette,0.0237,panard-le-reve,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
durant-pour-un-plaisir-mille-douleurs,becque-enlevement,0.014,moissy-petite-verole,0.0246,durant-jours-se-suivent,0.0068,FALSE,FALSE,FALSE,FALSE,TRUE
giraudoux-impromptu-de-paris,anonyme-portier-du-parnasse,0.0186,anonyme-portier-du-parnasse,0.025,dufresny-depart-des-comediens,0.0068,FALSE,TRUE,FALSE,FALSE,FALSE
voltaire-baron-d-otrante,dufresny-regnard-naissance-d-amadis,0.0298,dorimond-femme-industrieuse,0.0292,regnard-menechmes,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
bernardt-daisy,florian-jumeaux-de-bergame,0.036,chauvin-commencement-de-la-fin,0.0327,bernardt-garcon-de-dix-huit-ans,0.0068,FALSE,FALSE,FALSE,FALSE,TRUE
bernardt-garcon-de-dix-huit-ans,bernardt-le-radeau-de-la-meduse,0.0391,courteline-atelier,0.0335,bernardt-daisy,0.0068,FALSE,FALSE,TRUE,FALSE,TRUE
giraudoux-l-apollon-de-bellac,giraudoux-cantique-des-cantiques,0.0174,jeannet-moliere-en-menage,0.0339,bodard-de-tezay-arlequin-roi-dans-la-lune,0.0068,FALSE,FALSE,TRUE,FALSE,FALSE
carmontelle-important,brueys-l-opiniatre,0.0265,palaprat-le-muet,0.0469,palaprat-le-muet,0.0068,FALSE,FALSE,FALSE,FALSE,FALSE
